method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images,epochs,repeat
diffusion_dp,1.0,40,resnet20,0.3775333000012324,10.874501399997826,6.949548299999151,0.246899999998277,0.2635,0.525,400,10,3
dp,0.1,80,resnet20,0.0385008000012021,20.76963219999743,7.246374900001683,0.6245677999977488,0.1213,1.0,800,10,3
dp,0.5,80,resnet20,0.0420898999982455,20.449946900000214,6.672193599999446,0.5284484000003431,0.2483,0.93875,800,10,3
dp,1.0,80,resnet20,0.0432408999986364,20.8986436999985,6.374930400001176,0.5364774000008765,0.22,0.6575,800,10,3
diffusion_dp,0.1,80,resnet20,0.6584154999982275,20.721337999999378,6.9886635999973805,0.647547399999894,0.2905,0.96375,800,10,3
diffusion_dp,0.5,80,resnet20,1.463565900001413,27.571359499997925,9.786625799999456,1.2252674999981537,0.3187,0.63375,800,10,3
diffusion_dp,1.0,80,resnet20,0.7597892999983742,36.9160000999982,8.021104999999807,0.6444176999975753,0.2856,0.64375,800,10,3
dp,0.1,160,resnet20,0.0718231999999261,66.14380199999869,7.841759799997817,1.241799400002492,0.1529,0.999375,1600,10,3
dp,0.5,160,resnet20,0.0640841999993426,50.53455010000107,7.951064500000939,1.247514400001819,0.3165,0.831875,1600,10,3
dp,1.0,160,resnet20,0.076527299999725,48.91382359999989,6.06260580000162,1.132223000000522,0.3227,0.703125,1600,10,3
diffusion_dp,0.1,160,resnet20,1.3441748000004736,56.728874299999006,18.40443669999877,1.8386929999978747,0.1903,0.5875,1600,10,3
diffusion_dp,0.5,160,resnet20,1.471589499997208,82.30083119999836,13.35125060000064,1.6005043999975896,0.3394,0.72125,1600,10,3
diffusion_dp,1.0,160,resnet20,1.3453067000009469,51.110721599998215,6.883782199998677,1.2639480000034382,0.3718,0.7575,1600,10,3
dp,0.1,40,resnet20,0.0179930999984208,29.71652639999957,13.54881359999854,0.4208230999975058,0.1009,0.8275,400,20,1
dp,0.5,40,resnet20,0.0233513999992283,39.40874970000005,12.847233500000584,0.7050745000015013,0.2315,0.895,400,20,1
dp,1.0,40,resnet20,0.0609213999996427,48.99890140000207,9.82883479999873,0.3170089000013831,0.1585,0.5975,400,20,1
diffusion_dp,0.1,40,resnet20,0.3635876000007556,46.805228199998965,19.90709060000154,1.4984919999988051,0.2308,0.8775,400,20,1
diffusion_dp,0.5,40,resnet20,0.7087630000023637,52.34939230000237,14.299077899999247,0.5703234000029624,0.2952,0.92,400,20,1
diffusion_dp,1.0,40,resnet20,0.5196391999998013,43.54060099999697,14.223610400000323,0.70853519999946,0.3061,0.8275,400,20,1
dp,0.1,80,resnet20,0.072265899998456,100.12311799999952,14.952918899998622,1.0702353999986371,0.1157,1.0,800,20,1
dp,0.5,80,resnet20,0.0614845000018249,94.81214539999928,14.566346599996905,0.8659152000000176,0.2464,0.99125,800,20,1
dp,1.0,80,resnet20,0.0476411000017833,66.62529180000274,9.78598509999938,0.769017900001927,0.3427,0.99875,800,20,1
diffusion_dp,0.1,80,resnet20,0.6743915999977617,76.69916190000004,10.64883959999861,0.8322533999998996,0.3115,1.0,800,20,1
diffusion_dp,0.5,80,resnet20,0.69003850000081,73.04181669999889,12.380359200000385,1.0598394999979064,0.3121,1.0,800,20,1
diffusion_dp,1.0,80,resnet20,0.7456125999997312,72.23766429999887,16.039146499999333,1.4578637999984494,0.316,0.9275,800,20,1
dp,0.1,160,resnet20,0.1471453000012843,172.50964340000064,11.75962029999937,1.896630600000208,0.1084,1.0,1600,20,1
dp,0.5,160,resnet20,0.0906519000018306,153.57522000000245,11.99058679999871,2.058306300001277,0.3386,0.99125,1600,20,1
dp,1.0,160,resnet20,0.0804674999999406,136.26504190000196,14.064280299997336,2.958328299999266,0.3417,0.98875,1600,20,1
diffusion_dp,0.1,160,resnet20,1.5007511999974668,184.18215699999928,15.26961470000242,2.548315200001525,0.3543,0.998125,1600,20,1
diffusion_dp,0.5,160,resnet20,2.0633071000011114,167.44727540000167,12.52257649999956,2.258778200000961,0.3623,0.895,1600,20,1
diffusion_dp,1.0,160,resnet20,1.7816378999996232,225.8305438000025,16.109333500000503,3.352636499999789,0.3962,0.989375,1600,20,1
dp,0.1,40,resnet20,0.0300900000002002,32.442992699998285,9.170517800001107,0.3903532000003906,0.1182,1.0,400,20,2
dp,0.5,40,resnet20,0.0212677999988954,48.35230049999882,13.96405600000071,0.5521823999988555,0.2461,0.87,400,20,2
dp,1.0,40,resnet20,0.0308477999969909,49.92548489999899,17.209801799999696,0.423071199998958,0.2456,0.5025,400,20,2
diffusion_dp,0.1,40,resnet20,0.3712783999981184,49.47370809999848,13.496037299999443,0.4644856999984768,0.2463,0.9325,400,20,2
diffusion_dp,0.5,40,resnet20,0.5465772999996261,66.38013019999926,25.655995500001158,0.6782906999978877,0.2855,0.6875,400,20,2
diffusion_dp,1.0,40,resnet20,0.4791332000022521,45.35977759999878,9.48519640000086,0.4855233999987831,0.2888,0.845,400,20,2
dp,0.1,80,resnet20,0.057139399999869,69.91277769999942,8.587116799997602,0.6327376000008371,0.1384,1.0,800,20,2
dp,0.5,80,resnet20,0.0413060999999288,61.11344720000125,9.056181700001616,0.838543199999549,0.2262,0.88375,800,20,2
dp,1.0,80,resnet20,0.0636742000024241,69.99840229999973,13.223618500000155,0.940504999998666,0.2952,0.995,800,20,2
diffusion_dp,0.1,80,resnet20,0.762729499998386,69.61556399999972,9.310453699999924,0.8137104999987059,0.2826,0.885,800,20,2
diffusion_dp,0.5,80,resnet20,0.7175687000017206,83.1753452999983,8.385430899998028,0.6852042999998957,0.3135,0.9275,800,20,2
diffusion_dp,1.0,80,resnet20,0.6873205000010785,63.52027739999903,9.458449600002496,0.864824199998111,0.323,0.975,800,20,2
dp,0.1,160,resnet20,0.1102928000000247,145.33184580000307,7.49417049999829,1.3613647999991372,0.2054,1.0,1600,20,2
dp,0.5,160,resnet20,0.0842940000002272,145.23358069999813,8.86164330000247,1.410061800001131,0.3066,0.988125,1600,20,2
dp,1.0,160,resnet20,0.081151200000022,155.32963200000086,12.474990399998203,1.7002385999985563,0.3945,1.0,1600,20,2
diffusion_dp,0.1,160,resnet20,2.379058800001076,266.02963649999947,9.48728239999764,1.4148074000004272,0.3081,1.0,1600,20,2
diffusion_dp,0.5,160,resnet20,1.4133146999993187,155.3260291000006,13.26742589999776,1.339057800003502,0.3945,0.998125,1600,20,2
diffusion_dp,1.0,160,resnet20,1.3423801999997522,125.96886969999832,7.75272159999804,1.235688400000072,0.4003,1.0,1600,20,2
dp,0.1,40,resnet20,0.0207726000007824,31.64994780000052,15.057737200000702,0.523344500001258,0.1219,0.9775,400,20,3
dp,0.5,40,resnet20,0.0248734000015247,33.67783899999995,9.867320599998491,0.3117233000011765,0.2208,0.98,400,20,3
dp,1.0,40,resnet20,0.0244505999980901,27.877963999999334,9.54320899999948,0.3348202999986824,0.2445,0.8725,400,20,3
diffusion_dp,0.1,40,resnet20,0.3636335000010149,30.86707320000278,9.979704199999103,0.3299688000006426,0.2396,0.8725,400,20,3
diffusion_dp,0.5,40,resnet20,0.3417493999986618,29.724875800002337,13.339809500001138,0.5363699000008637,0.2433,0.6,400,20,3
diffusion_dp,1.0,40,resnet20,0.5871729999998934,37.66306640000039,6.688948499999242,0.2689950999993016,0.2191,0.58,400,20,3
dp,0.1,80,resnet20,0.044557099998201,42.2082862999996,6.044160699999338,0.4920754000013403,0.1037,1.0,800,20,3
dp,0.5,80,resnet20,0.0381207999998878,44.970453999998426,6.432417500000156,0.5002901999978349,0.2384,0.97875,800,20,3
dp,1.0,80,resnet20,0.0373889999973471,40.96140910000031,6.499549500000285,0.5545215999991342,0.3193,0.99375,800,20,3
diffusion_dp,0.1,80,resnet20,0.6353983999979391,40.352125699999306,6.23022470000069,0.5593702000005578,0.2965,0.99375,800,20,3
diffusion_dp,0.5,80,resnet20,0.5749275999987731,40.65108070000133,6.553276700000424,0.5508473999980197,0.3366,0.99,800,20,3
diffusion_dp,1.0,80,resnet20,0.6277927000010095,38.20462190000035,6.375182400002814,0.5003671999984363,0.2904,0.9425,800,20,3
dp,0.1,160,resnet20,0.0640310000017052,78.90851119999934,5.816032599999744,0.9067912999998952,0.1054,1.0,1600,20,3
dp,0.5,160,resnet20,0.0726138999998511,81.97152260000075,6.325319600000512,0.9967536000003748,0.2594,1.0,1600,20,3
dp,1.0,160,resnet20,0.0674934000016946,84.06395949999933,5.692977300001076,0.9002283000008902,0.4138,0.998125,1600,20,3
diffusion_dp,0.1,160,resnet20,1.101834199998848,79.64058069999737,5.8163397000025725,0.9130072000007204,0.3454,1.0,1600,20,3
diffusion_dp,0.5,160,resnet20,1.076926800000365,80.01149840000289,5.8085131000007095,0.9148963000006916,0.4161,1.0,1600,20,3
diffusion_dp,1.0,160,resnet20,1.111236299999291,78.49526180000248,5.785680599998159,0.9885152999995626,0.3593,0.954375,1600,20,3
dp,0.1,40,resnet20,0.0102459000008821,5.77628470000127,6.831116299999849,0.2537795999996888,0.0984,0.1475,400,5,1
dp,0.5,40,resnet20,0.0219279000011738,5.510669700001017,10.02633550000064,0.4813232000014977,0.1721,0.205,400,5,1
dp,1.0,40,resnet20,0.0362860000004729,5.550338799999736,6.515458799998669,0.3012034000003041,0.1244,0.155,400,5,1
diffusion_dp,0.1,40,resnet20,0.4221360999999888,5.705078400000275,6.258195299998988,0.3056612000000314,0.1206,0.13,400,5,1
diffusion_dp,0.5,40,resnet20,0.3741668999991816,7.21970119999969,6.900989499999923,0.267156599998998,0.1586,0.1925,400,5,1
diffusion_dp,1.0,40,resnet20,0.3779964000004838,5.71253280000019,6.165565299999798,0.2453783999990264,0.114,0.135,400,5,1
dp,0.1,80,resnet20,0.0411965999992389,10.193602600000304,5.974841399998695,0.7141317000005074,0.1161,0.74125,800,5,1
dp,0.5,80,resnet20,0.0579782000004343,10.994735899999796,6.7708471000005375,0.5393765999997413,0.1748,0.28375,800,5,1
dp,1.0,80,resnet20,0.0511007999994035,9.716353800000434,6.158168599999044,0.4713941999998496,0.2248,0.2925,800,5,1
diffusion_dp,0.1,80,resnet20,0.6043635000005452,11.776026900000945,8.211690899999667,0.7151733000009699,0.184,0.2,800,5,1
diffusion_dp,0.5,80,resnet20,0.7153010000001814,13.446988599998804,6.188754800001334,0.4659828999992896,0.2229,0.31,800,5,1
