method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images,synthetic_train_images,synthetic_eval_images
dp,0.3,160,cnn,0.08867919999988771,2.2628877999998167,2.762253399999963,0.07995229999983167,0.82075,0.778125,-0.042625000000000024,1600,1280,320
dp,0.5,160,cnn,0.0789135999998507,2.3600523000000067,2.8674029000001156,0.07470480000006319,0.8029166666666666,0.809375,0.006458333333333344,1600,1280,320
dp,0.7,160,cnn,0.07330639999986488,2.092256899999711,2.6711012999999184,0.07520530000010694,0.8576666666666667,0.859375,0.0017083333333333117,1600,1280,320
diffusion_dp,0.3,160,cnn,1.3806807000000845,2.0369282000001476,2.622000299999854,0.08252309999988938,0.8276666666666667,0.878125,0.05045833333333338,1600,1280,320
diffusion_dp,0.5,160,cnn,1.4349539999998342,2.0114255999997113,2.4424558999999135,0.1423558999999841,0.8759166666666667,0.878125,0.0022083333333333677,1600,1280,320
diffusion_dp,0.7,160,cnn,1.2666543000000274,4.26915579999968,5.681796500000019,0.10821519999990414,0.86525,0.9,0.03475000000000006,1600,1280,320
