method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images
distill_dp,0.5,40,cnn,0.07552189999842085,0.4455917000013869,2.0308351999992738,0.08167260000482202,0.2059,0.7,0.4941,400
distill_dp,0.5,40,resnet20,0.07552189999842085,2.1103303999989294,5.811091299998225,0.23509280000143917,0.1026,0.1,-0.002599999999999991,400
distill_dp,1.0,40,cnn,0.07447749999846565,0.48085900000296533,2.0497536000038963,0.08266250000451691,0.2061,0.7,0.49389999999999995,400
distill_dp,1.0,40,resnet20,0.07447749999846565,1.9908033000028809,6.0149652999971295,0.23728269999992335,0.0883,0.1,0.011700000000000002,400
diffusion_dp,0.1,40,cnn,0.34595520000584656,0.43307199999981094,1.8893654999992577,0.07809819999965839,0.2631,0.3675,0.10439999999999999,400
diffusion_dp,0.1,40,resnet20,0.34595520000584656,1.9301540000014938,6.115392200001224,0.2418037000024924,0.0963,0.1,0.003700000000000009,400
diffusion_dp,0.5,40,cnn,0.2976942000022973,0.4865374000000884,1.8736541999969631,0.0801830999989761,0.2708,0.3825,0.11170000000000002,400
diffusion_dp,0.5,40,resnet20,0.2976942000022973,1.9779757999931462,5.853946600000199,0.2297515000027488,0.1006,0.1,-0.0005999999999999894,400
diffusion_dp,1.0,40,cnn,0.29795320000266656,0.4457860999973491,1.909251500001119,0.08836259999952745,0.2465,0.315,0.0685,400
diffusion_dp,1.0,40,resnet20,0.29795320000266656,2.087558800005354,5.805858400002762,0.26360160000331234,0.1043,0.1075,0.0031999999999999945,400
dp,0.1,80,cnn,0.047314299998106435,0.8397867999956361,1.9474494000023697,0.1734026999984053,0.141,0.13375,-0.007249999999999979,800
dp,0.1,80,resnet20,0.047314299998106435,3.8377645000000484,5.679079399997136,0.4436375000004773,0.1428,0.15125,0.008449999999999985,800
dp,0.5,80,cnn,0.03848389999620849,0.7232411000004504,1.8637583000017912,0.15349110000533983,0.2561,0.27875,0.022650000000000003,800
dp,0.5,80,resnet20,0.03848389999620849,3.876043700001901,5.893101300003764,0.5010878000030061,0.1446,0.165,0.0204,800
dp,1.0,80,cnn,0.0360454000037862,0.7198505999986082,1.915250100006233,0.1563979999991716,0.2787,0.35875,0.08005000000000001,800
dp,1.0,80,resnet20,0.0360454000037862,3.883512400003383,6.112828100005572,0.4493367999966722,0.0964,0.1,0.003600000000000006,800
gan_dp,0.1,80,cnn,8.998671599998488,0.8639249999978347,2.0573921000031987,0.17693490000237944,0.1038,0.14,0.03620000000000001,800
gan_dp,0.1,80,resnet20,8.998671599998488,3.851246500002162,6.42710320000333,0.5285549000036553,0.095,0.1,0.0050000000000000044,800
gan_dp,0.5,80,cnn,7.974980999999389,0.7437329999957001,1.8680098999975598,0.16293779999978142,0.102,0.15125,0.04925,800
gan_dp,0.5,80,resnet20,7.974980999999389,3.95741189999535,5.768189499998698,0.4645325000019511,0.0949,0.1,0.005100000000000007,800
gan_dp,1.0,80,cnn,7.97211629999947,0.8505385999960708,2.0792166000028374,0.1657106999991811,0.0976,0.1,0.0023999999999999994,800
gan_dp,1.0,80,resnet20,7.97211629999947,3.8276304000028176,6.489577899999858,0.48785550000320654,0.0992,0.1,0.000800000000000009,800
distill_dp,0.1,80,cnn,0.08787440000014612,0.7306872999979532,2.107269299995096,0.1687074000001303,0.2473,1.0,0.7527,800
distill_dp,0.1,80,resnet20,0.08787440000014612,3.8027882000023965,7.6514228000014555,0.529026200005319,0.1773,0.2,0.022699999999999998,800
distill_dp,0.5,80,cnn,0.09834330000012415,0.9087624000021606,2.1257743000023765,0.1767279999985476,0.2259,0.93,0.7041000000000001,800
distill_dp,0.5,80,resnet20,0.09834330000012415,4.017317199999525,6.06793800000014,0.4590740999992704,0.1116,0.1,-0.0116,800
distill_dp,1.0,80,cnn,0.08621419999690261,0.689591999995173,1.867628699998022,0.1545542000021669,0.222,1.0,0.778,800
distill_dp,1.0,80,resnet20,0.08621419999690261,3.832103399996413,5.694138599996222,0.4490732999984175,0.1311,0.2,0.06890000000000002,800
diffusion_dp,0.1,80,cnn,0.6089828000040143,0.7172052000023541,1.8933251999987988,0.15483359999780077,0.2799,0.34125,0.061350000000000016,800
diffusion_dp,0.1,80,resnet20,0.6089828000040143,3.6572683000049437,5.752724099998886,0.4634455999985221,0.1457,0.15625,0.010550000000000004,800
diffusion_dp,0.5,80,cnn,0.5746908000000985,0.7960265000001527,2.0669545999990078,0.17139029999816557,0.2934,0.39125,0.09784999999999999,800
diffusion_dp,0.5,80,resnet20,0.5746908000000985,3.793900599994231,5.805811899997934,0.4852351000008639,0.1118,0.11125,-0.0005499999999999949,800
diffusion_dp,1.0,80,cnn,0.5517063000006601,0.7024665999997524,1.9901774999962072,0.15533150000555906,0.2946,0.3975,0.10290000000000005,800
diffusion_dp,1.0,80,resnet20,0.5517063000006601,3.773255300002347,6.383294200000819,0.5374689000018407,0.1339,0.14875,0.014850000000000002,800
dp,0.1,160,cnn,0.06593920000159414,1.5505286999978125,1.9455575000029057,0.4056782999978168,0.2505,0.281875,0.031374999999999986,1600
dp,0.1,160,resnet20,0.06593920000159414,7.738172199999099,6.153943999997864,0.9747216000032495,0.1122,0.13375,0.021550000000000014,1600
dp,0.5,160,cnn,0.06856749999860767,1.3368386999936774,1.9093040000007022,0.30615739999484504,0.3196,0.3825,0.06290000000000001,1600
dp,0.5,160,resnet20,0.06856749999860767,7.390819399995962,6.350790500000585,0.9689758999957121,0.15,0.160625,0.010624999999999996,1600
dp,1.0,160,cnn,0.0746352999994997,1.3216317999977036,2.1610581999993883,0.32890309999493184,0.3388,0.379375,0.04057500000000003,1600
