method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,pred_seconds,val_acc,synthetic_images
dp,0.1,40,cnn,0.032723100000112026,1.068829700000606,11.400095599999986,0.1005,400
dp,0.5,40,cnn,0.03625530000044819,1.1506122999999207,14.103877500000635,0.1783,400
dp,1.0,40,cnn,0.0701190999998289,1.0393784000007145,11.092812900000354,0.2386,400
gan_dp,0.1,40,cnn,33.04426070000045,1.2835147000005236,12.180982699999731,0.1006,400
gan_dp,0.5,40,cnn,32.395491799999945,0.5511587999999392,17.43398939999952,0.0984,400
gan_dp,1.0,40,cnn,40.61541420000049,0.5383623999996416,7.1062458999995215,0.0995,400
distill_dp,0.1,40,cnn,0.1560762999997678,0.325329000000238,7.1335425999996005,0.2022,400
distill_dp,0.5,40,cnn,0.2694553999999698,0.2992944000006901,13.088011200000437,0.2147,400
distill_dp,1.0,40,cnn,0.4263756000000285,1.0077860999999757,13.42470940000021,0.1975,400
diffusion_dp,0.1,40,cnn,0.8656283000000258,1.68540910000047,12.911281900000176,0.2095,400
diffusion_dp,0.5,40,cnn,0.7122491999998601,1.4701727000001483,9.945478099999491,0.1812,400
diffusion_dp,1.0,40,cnn,0.9188887999998769,1.4955079999999725,11.844147300000259,0.1548,400
