method,epsilon,per_class,epochs,original_acc_mean,original_acc_std,synthetic_acc_mean,synthetic_acc_std,train_seconds_mean,train_seconds_std,synthesis_seconds_mean,synthesis_seconds_std,runs
dp,0.1,80,20,0.11926666666666667,0.017622807192196513,1.0,0.0,70.74806066666618,28.96644966052332,0.05798746666550867,0.013873853544187352,3
diffusion_dp,0.5,80,20,0.3207333333333333,0.013758754788618556,0.9725,0.03929058411375427,65.62274756666618,22.211713352339945,0.6608449333337679,0.07566914234726065,3
dp,0.5,80,20,0.23700000000000002,0.010172511980823612,0.9512499999999999,0.0587898800815242,66.96534886666632,25.430928320461838,0.04697046666721383,0.012670019998059045,3
diffusion_dp,1.0,80,20,0.3098,0.017161585008384293,0.9483333333333333,0.024281337140555782,57.987521199999414,17.67825039777692,0.6869086000006064,0.05891102999553636,3
dp,1.0,80,20,0.31906666666666667,0.02375085963356554,0.9958333333333332,0.0026020824993326416,59.19503440000093,15.880594677055216,0.049568100000518166,0.013248129361274674,3
diffusion_dp,0.1,160,5,0.30833333333333335,0.049763574362512705,0.5102083333333333,0.05790729840299348,20.314902099999625,2.0293737756746615,1.1384354000001622,0.08113837574810272,3
dp,0.1,160,5,0.11436666666666667,0.010951864377051673,0.5375,0.1365149373695055,21.393969333332887,1.6311094243635902,0.07120269999904846,0.0077637581612876125,3
diffusion_dp,0.5,160,5,0.33126666666666665,0.038009516352268034,0.44520833333333326,0.06351160491070376,20.315959033334366,0.8104921412966054,1.1643397999996523,0.11697183148361756,3
dp,0.5,160,5,0.2567,0.02050292662036324,0.48895833333333333,0.0741417912403884,20.721469166666793,0.3183248360073977,0.08036766666676456,0.013411283264305606,3
diffusion_dp,1.0,160,5,0.3050333333333333,0.031190757177941873,0.40395833333333336,0.03166186915413135,20.280707533333043,1.123762228735489,1.1072062666662532,0.05864480620026977,3
dp,1.0,160,5,0.3153333333333333,0.06893216472252511,0.4402083333333333,0.11617661214002296,21.49582349999946,1.2369209423182255,0.07465216666666184,0.00881334613512189,3
diffusion_dp,0.1,160,10,0.2809,0.08199213376903908,0.7933333333333333,0.1795190333455852,45.51635309999983,9.953650856927075,1.1836880999999266,0.14332205789731908,3
dp,0.1,160,10,0.12946666666666667,0.02242862754011786,0.9985416666666667,0.0014433756729740818,48.027216166665916,15.83631309618982,0.07057653333383007,0.0025180951804913533,3
diffusion_dp,0.5,160,10,0.3163,0.037526923668214515,0.6262500000000001,0.09627434756984841,53.94094993333298,24.6182529621965,1.1937074333327473,0.2422494918588141,3
dp,0.5,160,10,0.2556333333333333,0.05345814562190999,0.77625,0.20663127637170514,44.034683100001224,6.037766586796861,0.06417223333240443,0.005623166850109428,3
diffusion_dp,1.0,160,10,0.35026666666666667,0.022732429112027004,0.7012499999999999,0.07631912850000323,45.56560703333283,6.28015284894023,1.2254701333325404,0.1598825437064044,3
dp,1.0,160,10,0.3208333333333333,0.02036426608874804,0.7641666666666667,0.09719570570932304,42.83618496666774,5.8084705545296575,0.07213830000061228,0.003808662446839848,3
diffusion_dp,0.1,160,20,0.33593333333333336,0.024511697887607334,0.999375,0.0010825317547305572,176.61745806666536,93.42450713259375,1.6605480666657968,0.6534347317525103,3
dp,0.1,160,20,0.13973333333333335,0.05688878038184097,1.0,0.0,132.25000013333434,48.15230006775828,0.10715636666767141,0.04164582363984691,3
diffusion_dp,0.5,160,20,0.3909666666666667,0.02707348025897915,0.964375,0.060087826346107785,134.2616009666684,47.371261059176135,1.5178495333335984,0.5014301273283845,3
dp,0.5,160,20,0.3015333333333334,0.03984235602136666,0.993125,0.006155536126122534,126.92677443333378,39.155162330165844,0.08251993333396963,0.009148925916199,3
diffusion_dp,1.0,160,20,0.38526666666666665,0.022581039243873002,0.9812500000000001,0.02387303656848034,143.43155843333443,75.20392578750739,1.411751466666222,0.3405420029892556,3
dp,1.0,160,20,0.3833333333333333,0.03732456742325804,0.995625,0.006027281725620601,125.21954446666739,36.89446136456961,0.0763707000005524,0.007695563843853047,3
