dataset,config_id,method,epsilon,per_class,classifier,n,original_acc_mean,original_acc_std,synthetic_acc_mean,synthetic_acc_std,generalization_gap_mean,train_seconds_mean,synthesis_seconds_mean
cifar10,cifar10_eps1p5_k1000_cnn,diffusion_dp,1.5,1000,cnn,3,0.6032333333333333,0.014407058455261874,0.6455000000000001,0.00835164654424501,0.04226666666666664,37.25249426666657,6.61479070000011
cifar10,cifar10_eps1p0_k1000_cnn,diffusion_dp,1.0,1000,cnn,3,0.6021666666666667,0.014641152049389176,0.664,0.022754120505965512,0.06183333333333323,37.4040379333322,6.652256300001075
mnist,mnist_eps0p5_k640_resnet20,diffusion_dp,0.5,640,resnet20,3,0.9853611111111111,0.0014002314623477057,0.9888020833333333,0.00606832301965159,0.0034409722222221665,137.75604633333447,4.6097996333337505
