method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.020772600000782404,31.64994780000052,15.057737200000702,0.523344500001258,0.1219,0.9775,400
dp,0.5,40,resnet20,0.024873400001524715,33.67783899999995,9.867320599998493,0.31172330000117654,0.2208,0.98,400
dp,1.0,40,resnet20,0.024450599998090183,27.877963999999338,9.543208999999479,0.33482029999868246,0.2445,0.8725,400
diffusion_dp,0.1,40,resnet20,0.3636335000010149,30.86707320000278,9.979704199999105,0.32996880000064266,0.2396,0.8725,400
diffusion_dp,0.5,40,resnet20,0.34174939999866183,29.724875800002337,13.339809500001138,0.5363699000008637,0.2433,0.6,400
diffusion_dp,1.0,40,resnet20,0.5871729999998934,37.66306640000039,6.688948499999242,0.2689950999993016,0.2191,0.58,400
dp,0.1,80,resnet20,0.04455709999820101,42.2082862999996,6.044160699999338,0.4920754000013403,0.1037,1.0,800
dp,0.5,80,resnet20,0.03812079999988782,44.970453999998426,6.432417500000156,0.5002901999978349,0.2384,0.97875,800
dp,1.0,80,resnet20,0.03738899999734713,40.96140910000031,6.499549500000285,0.5545215999991342,0.3193,0.99375,800
diffusion_dp,0.1,80,resnet20,0.6353983999979391,40.352125699999306,6.23022470000069,0.5593702000005578,0.2965,0.99375,800
diffusion_dp,0.5,80,resnet20,0.5749275999987731,40.65108070000133,6.553276700000424,0.5508473999980197,0.3366,0.99,800
diffusion_dp,1.0,80,resnet20,0.6277927000010095,38.20462190000035,6.375182400002814,0.5003671999984363,0.2904,0.9425,800
dp,0.1,160,resnet20,0.06403100000170525,78.90851119999934,5.816032599999744,0.9067912999998953,0.1054,1.0,1600
dp,0.5,160,resnet20,0.07261389999985113,81.97152260000075,6.325319600000512,0.9967536000003747,0.2594,1.0,1600
dp,1.0,160,resnet20,0.06749340000169468,84.06395949999933,5.6929773000010755,0.9002283000008902,0.4138,0.998125,1600
diffusion_dp,0.1,160,resnet20,1.101834199998848,79.64058069999737,5.8163397000025725,0.9130072000007203,0.3454,1.0,1600
diffusion_dp,0.5,160,resnet20,1.076926800000365,80.01149840000289,5.8085131000007095,0.9148963000006916,0.4161,1.0,1600
diffusion_dp,1.0,160,resnet20,1.111236299999291,78.49526180000248,5.785680599998159,0.9885152999995626,0.3593,0.954375,1600
