method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.01290089999929478,11.597150199999305,6.73074540000016,0.26515870000002906,0.0906,0.935,400
dp,0.5,40,resnet20,0.02582339999935357,9.397885999998834,5.422493500000201,0.2232200999987981,0.1716,0.6425,400
dp,1.0,40,resnet20,0.02331860000049346,9.686094600001525,6.287986799999999,0.250776599999881,0.2132,0.6775,400
diffusion_dp,0.1,40,resnet20,0.32710749999932887,9.064000899999883,5.801669000000402,0.24430599999868718,0.2056,0.7525,400
diffusion_dp,0.5,40,resnet20,0.284224400000312,10.462641599999188,5.991028500000539,0.23985909999828436,0.2864,0.615,400
diffusion_dp,1.0,40,resnet20,0.3188806000016484,9.904231599999548,5.769170799998392,0.24245929999960936,0.2198,0.4475,400
dp,0.1,80,resnet20,0.04111330000159796,18.774847699998645,6.463912800001708,0.4941314000025159,0.1302,0.99875,800
dp,0.5,80,resnet20,0.04252510000151233,19.20651100000032,5.806784600001265,0.46681529999841587,0.2159,0.9475,800
dp,1.0,80,resnet20,0.037261100002069725,19.1086679,5.380971899998258,0.46993790000124136,0.289,0.7575,800
diffusion_dp,0.1,80,resnet20,0.5645468000002438,18.304574499998125,5.938529999999446,0.49985580000065966,0.2018,0.6525,800
diffusion_dp,0.5,80,resnet20,0.6113622999982908,17.91644290000113,5.653363899997203,0.4612979000012274,0.2021,0.365,800
diffusion_dp,1.0,80,resnet20,0.5724040000022796,19.443797200001427,5.776927400002023,0.49421580000125687,0.3013,0.68875,800
dp,0.1,160,resnet20,0.0676783000017167,36.81699369999842,5.424985100002232,0.8831673999993654,0.1082,0.996875,1600
dp,0.5,160,resnet20,0.058593599998857826,38.601077900002565,5.6896978999975545,0.9565761999983806,0.2163,0.949375,1600
dp,1.0,160,resnet20,0.06970210000145016,37.3407294000026,5.969666499997402,0.8805904000000737,0.2996,0.713125,1600
diffusion_dp,0.1,160,resnet20,1.0684557999993558,37.722698699999455,6.076877399998921,0.9235045999994327,0.3024,0.875,1600
diffusion_dp,0.5,160,resnet20,1.0269998000003397,38.07393199999933,5.697066100001393,0.9124943999995594,0.3365,0.62875,1600
diffusion_dp,1.0,160,resnet20,1.0439301999977033,38.74593989999994,5.924354800001311,0.9817029000005277,0.3525,0.731875,1600
