method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images,synthetic_train_images,synthetic_eval_images
dp,0.1,160,cnn,0.044103199999881326,9.343320999999833,5.973879300000135,0.19328089999999065,0.6159166666666667,0.89375,0.2778333333333334,1600,1280,320
dp,0.1,160,resnet20,0.044103199999881326,17.155356400000073,7.813831299999947,0.20263150000027963,0.38375,0.5875,0.20375000000000004,1600,1280,320
dp,0.5,160,cnn,0.06396099999983562,9.372065300000031,6.0102882999999565,0.16400049999992916,0.9416666666666667,0.95625,0.014583333333333393,1600,1280,320
dp,0.5,160,resnet20,0.06396099999983562,16.289576099999977,8.271042800000032,0.22610440000016752,0.81725,0.91875,0.10149999999999992,1600,1280,320
dp,1.0,160,cnn,0.07170879999966928,9.573087000000214,6.219020199999704,0.14894849999973303,0.9555833333333333,0.946875,-0.008708333333333318,1600,1280,320
dp,1.0,160,resnet20,0.07170879999966928,15.78111059999992,7.903736400000071,0.21737990000019636,0.9174166666666667,0.90625,-0.011166666666666658,1600,1280,320
gan_dp,0.1,160,cnn,9.598341800000071,12.552288800000042,6.008803600000192,0.15279180000015913,0.11466666666666667,0.115625,0.0009583333333333388,1600,1280,320
gan_dp,0.1,160,resnet20,9.598341800000071,14.4037715999998,7.753985899999861,0.2529458999997587,0.11358333333333333,0.1,-0.013583333333333322,1600,1280,320
gan_dp,0.5,160,cnn,8.160909900000206,8.722795700000006,5.603487200000018,0.1540210999996816,0.08283333333333333,0.109375,0.026541666666666672,1600,1280,320
gan_dp,0.5,160,resnet20,8.160909900000206,15.084151200000179,7.271655099999862,0.18689949999998134,0.08733333333333333,0.0875,0.0001666666666666622,1600,1280,320
gan_dp,1.0,160,cnn,8.5246946999996,9.270571699999891,5.423236399999951,0.15605729999970208,0.10683333333333334,0.090625,-0.01620833333333334,1600,1280,320
gan_dp,1.0,160,resnet20,8.5246946999996,14.914118400000007,7.73540230000026,0.191238599999906,0.11441666666666667,0.11875,0.004333333333333328,1600,1280,320
distill_dp,0.1,160,cnn,0.16172340000002805,8.583339900000283,5.47073169999976,0.16333420000000842,0.79325,1.0,0.20675,1600,1280,320
distill_dp,0.1,160,resnet20,0.16172340000002805,16.607286599999952,6.936630900000182,0.1861007999996218,0.29133333333333333,1.0,0.7086666666666667,1600,1280,320
distill_dp,0.5,160,cnn,0.13166000000001077,8.886975299999904,5.436698100000285,0.14217600000029051,0.4671666666666667,1.0,0.5328333333333333,1600,1280,320
distill_dp,0.5,160,resnet20,0.13166000000001077,15.067577899999833,7.406765300000188,0.1936825999996472,0.2865,1.0,0.7135,1600,1280,320
distill_dp,1.0,160,cnn,0.15328230000022813,9.149296099999901,5.82355970000026,0.1463285999998334,0.4549166666666667,1.0,0.5450833333333334,1600,1280,320
distill_dp,1.0,160,resnet20,0.15328230000022813,15.70364729999983,6.882601099999647,0.18362740000020494,0.26008333333333333,1.0,0.7399166666666667,1600,1280,320
diffusion_dp,0.1,160,cnn,1.2064706999999544,8.85510720000002,6.177974099999574,0.1507358000003478,0.9585,0.975,0.01649999999999996,1600,1280,320
diffusion_dp,0.1,160,resnet20,1.2064706999999544,16.035386799999742,7.2205150999998295,0.1997587000000749,0.84075,0.9125,0.07174999999999998,1600,1280,320
diffusion_dp,0.5,160,cnn,1.18367679999983,8.770127700000103,5.500343000000157,0.14698619999990115,0.9661666666666666,0.984375,0.018208333333333382,1600,1280,320
diffusion_dp,0.5,160,resnet20,1.18367679999983,14.09651199999962,6.988709799999924,0.18372679999993125,0.8968333333333334,0.925,0.028166666666666673,1600,1280,320
diffusion_dp,1.0,160,cnn,1.1335951000000932,8.64152869999998,5.488175200000114,0.14040509999995265,0.9665,0.95625,-0.010249999999999981,1600,1280,320
diffusion_dp,1.0,160,resnet20,1.1335951000000932,15.737836499999958,7.051821200000177,0.19441249999999854,0.89225,0.878125,-0.014124999999999943,1600,1280,320
dp,0.1,320,cnn,0.12350890000016079,19.418318,7.654365599999892,0.44757209999988845,0.9329166666666666,0.915625,-0.017291666666666594,3200,2560,640
dp,0.1,320,resnet20,0.12350890000016079,53.549412200000006,9.348171699999966,0.4968124000001808,0.874,0.81875,-0.05525000000000002,3200,2560,640
dp,0.5,320,cnn,0.13876140000002124,34.201381800000036,10.391827800000101,0.7391820000002554,0.962,0.96875,0.006750000000000034,3200,2560,640
dp,0.5,320,resnet20,0.13876140000002124,46.10180700000001,11.686144400000103,0.5203384000001279,0.9548333333333333,0.959375,0.004541666666666666,3200,2560,640
dp,1.0,320,cnn,0.13022200000023076,32.67380950000006,7.036180300000069,0.39263960000016596,0.9725,0.9765625,0.004062499999999969,3200,2560,640
dp,1.0,320,resnet20,0.13022200000023076,39.60762079999995,7.3721771000000444,0.36682340000015756,0.9681666666666666,0.9671875,-0.000979166666666642,3200,2560,640
gan_dp,0.1,320,cnn,8.634083400000236,18.137814300000173,5.3432904000001145,0.2880734999998822,0.0885,0.0828125,-0.005687499999999998,3200,2560,640
gan_dp,0.1,320,resnet20,8.634083400000236,53.13031099999989,13.049482400000215,0.802706599999965,0.07716666666666666,0.0890625,0.011895833333333342,3200,2560,640
gan_dp,0.5,320,cnn,14.812900899999931,33.29720439999983,6.959950400000253,0.4688900000001013,0.09675,0.1,0.003250000000000003,3200,2560,640
gan_dp,0.5,320,resnet20,14.812900899999931,44.23765839999987,9.468194100000346,0.526657399999749,0.072,0.1015625,0.029562500000000005,3200,2560,640
gan_dp,1.0,320,cnn,11.043291200000112,23.38122459999977,6.990719000000354,0.3922278999998525,0.099,0.0953125,-0.00368750000000001,3200,2560,640
gan_dp,1.0,320,resnet20,11.043291200000112,39.6253729,9.274058799999693,0.4976091999997152,0.09858333333333333,0.078125,-0.02045833333333333,3200,2560,640
distill_dp,0.1,320,cnn,0.22713870000006864,24.164087200000722,8.176012300000366,0.40524789999926725,0.6823333333333333,1.0,0.31766666666666665,3200,2560,640
distill_dp,0.1,320,resnet20,0.22713870000006864,50.76602540000022,11.312084700000014,0.5176839999994627,0.4290833333333333,1.0,0.5709166666666667,3200,2560,640
distill_dp,0.5,320,cnn,0.2449415000000954,27.6958539999996,6.717626999999993,0.36532590000024356,0.42975,1.0,0.5702499999999999,3200,2560,640
distill_dp,0.5,320,resnet20,0.2449415000000954,46.01073910000014,9.456502899999577,0.6280984999993962,0.11983333333333333,1.0,0.8801666666666667,3200,2560,640
distill_dp,1.0,320,cnn,0.29187089999959426,25.289716899999803,9.485122300000512,0.5468390000005456,0.57175,1.0,0.42825,3200,2560,640
distill_dp,1.0,320,resnet20,0.29187089999959426,40.04870839999967,9.454779699999563,0.640181499999926,0.22108333333333333,1.0,0.7789166666666667,3200,2560,640
diffusion_dp,0.1,320,cnn,2.7180115000001024,27.606435600000623,7.891319700000167,0.3817638000000443,0.9646666666666667,0.96875,0.004083333333333328,3200,2560,640
diffusion_dp,0.1,320,resnet20,2.7180115000001024,44.61181160000069,9.327128800000537,0.503605100000641,0.9501666666666667,0.9484375,-0.0017291666666666705,3200,2560,640
diffusion_dp,0.5,320,cnn,2.6589805999992677,22.47099049999997,6.396214799999143,0.34697700000015175,0.9786666666666667,0.98125,0.002583333333333271,3200,2560,640
diffusion_dp,0.5,320,resnet20,2.6589805999992677,40.4819421000002,9.159606100000019,0.48304519999965123,0.9714166666666667,0.98125,0.00983333333333325,3200,2560,640
