method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.012451100001271698,5.071532300000399,6.396244700001262,0.2538278000010905,0.1053,0.1,400
dp,0.5,40,resnet20,0.01999950000026729,4.938277399998697,7.5780396000009205,0.30061249999926076,0.1291,0.1175,400
dp,1.0,40,resnet20,0.027363199998944765,6.249880999999732,7.549416300000303,0.2790566999992734,0.1447,0.165,400
diffusion_dp,0.1,40,resnet20,0.37731369999892195,5.19423050000114,6.030227600000217,0.2560348000006343,0.1514,0.1825,400
diffusion_dp,0.5,40,resnet20,0.3017072000002372,5.8121733000007225,6.162661099999241,0.23732170000039332,0.1161,0.14,400
diffusion_dp,1.0,40,resnet20,0.34369209999931627,4.698997999999847,6.666485499999908,0.23707350000040606,0.1064,0.1175,400
dp,0.1,80,resnet20,0.03811429999950633,9.935433200000261,6.398092600000382,0.48258549999991374,0.1094,0.36875,800
dp,0.5,80,resnet20,0.044379200000548735,10.04689469999903,6.178670499999498,0.47638459999870975,0.1774,0.31125,800
dp,1.0,80,resnet20,0.039695499999652384,10.448472800000673,6.164158300000054,0.5673327999993489,0.2796,0.37625,800
diffusion_dp,0.1,80,resnet20,0.6456942999993771,10.254949199999828,5.989056000000346,0.5255891999986488,0.1621,0.22375,800
diffusion_dp,0.5,80,resnet20,0.6500398999996833,10.977561699999569,6.487149900000077,0.49553890000061074,0.2382,0.34375,800
diffusion_dp,1.0,80,resnet20,0.6137518999985332,9.97590929999933,5.992496400000164,0.4760855000004085,0.158,0.2025,800
dp,0.1,160,resnet20,0.06235799999922165,22.989169700000275,6.883730100000321,1.157708900000216,0.1252,0.385625,1600
dp,0.5,160,resnet20,0.09497040000132984,20.41945929999929,6.051883399999497,0.9389315999997052,0.2774,0.4075,1600
dp,1.0,160,resnet20,0.07960989999992307,20.162120299999515,6.088007399999697,0.9627760999992461,0.2686,0.34125,1600
diffusion_dp,0.1,160,resnet20,1.2248274000012316,21.36834049999925,7.433987099999285,1.1385089999985212,0.2936,0.5575,1600
diffusion_dp,0.5,160,resnet20,1.277879600000233,20.05698670000129,6.006461199998739,1.0208105999990948,0.3429,0.506875,1600
diffusion_dp,1.0,160,resnet20,1.1628084000003582,19.323771499999566,6.343019500000082,0.9544017999996868,0.3268,0.44,1600
