method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.01307489999999234,11.013022800001636,6.516835999998875,0.253542299999026,0.1082,0.815,400
dp,0.5,40,resnet20,0.02255169999989448,10.668514200000573,6.3921424000000115,0.24001959999986866,0.1658,0.5775,400
dp,1.0,40,resnet20,0.024670600001627463,10.596850100000665,6.1275925999998435,0.28395069999896805,0.2012,0.3075,400
diffusion_dp,0.1,40,resnet20,0.35777059999963967,10.724133600000641,5.908465000000433,0.2304037000012613,0.1592,0.4675,400
diffusion_dp,0.5,40,resnet20,0.2940978000005998,10.804298899998685,6.0278635999984544,0.23027369999908842,0.2092,0.305,400
diffusion_dp,1.0,40,resnet20,0.36459739999918384,10.47403679999843,6.0760970000010275,0.2617175999985193,0.1886,0.47,400
dp,0.1,80,resnet20,0.03926010000031965,21.67073679999885,6.875026500001695,0.5388984000001074,0.0928,1.0,800
dp,0.5,80,resnet20,0.045494899999539484,20.581907499999943,6.392166499999803,0.4602011999995739,0.1881,0.5125,800
dp,1.0,80,resnet20,0.03882350000094448,18.51157190000049,5.813869699999486,0.5321421000007831,0.2545,0.77,800
diffusion_dp,0.1,80,resnet20,0.6670444999999745,21.33980589999919,6.749617899999066,0.5456622999990941,0.2365,0.675,800
diffusion_dp,0.5,80,resnet20,0.6439011999991635,20.168321900000592,5.980724799999734,0.46286420000069484,0.3207,0.8575,800
diffusion_dp,1.0,80,resnet20,0.6150145000010525,21.808939100001226,6.131056099999114,0.4867742000005819,0.1928,0.43,800
dp,0.1,160,resnet20,0.07222809999984747,41.12085280000065,6.338501700000052,0.9648674000000028,0.1273,0.999375,1600
dp,0.5,160,resnet20,0.06983889999901294,42.968421300000045,6.854986700000154,1.1403700999999273,0.2341,0.5475,1600
dp,1.0,160,resnet20,0.0701855000006617,42.25400190000073,6.567367400000876,1.1123800999994273,0.3402,0.87625,1600
diffusion_dp,0.1,160,resnet20,1.1384336999999505,42.09748630000104,5.670496700000513,0.9430640999999014,0.35,0.9175,1600
diffusion_dp,0.5,160,resnet20,1.0825330000006943,41.44808660000126,5.845474199999444,1.118022499998915,0.273,0.52875,1600
diffusion_dp,1.0,160,resnet20,1.2871734999989712,46.840159600000334,6.316337300000669,0.9298952000008285,0.3265,0.614375,1600
