method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.030090000000200234,32.442992699998285,9.170517800001107,0.39035320000039064,0.1182,1.0,400
dp,0.5,40,resnet20,0.021267799998895498,48.35230049999882,13.96405600000071,0.5521823999988555,0.2461,0.87,400
dp,1.0,40,resnet20,0.030847799996990943,49.92548489999899,17.209801799999696,0.42307119999895804,0.2456,0.5025,400
diffusion_dp,0.1,40,resnet20,0.3712783999981184,49.473708099998476,13.496037299999443,0.4644856999984768,0.2463,0.9325,400
diffusion_dp,0.5,40,resnet20,0.5465772999996261,66.38013019999926,25.655995500001154,0.6782906999978877,0.2855,0.6875,400
diffusion_dp,1.0,40,resnet20,0.4791332000022521,45.35977759999878,9.48519640000086,0.48552339999878313,0.2888,0.845,400
dp,0.1,80,resnet20,0.057139399999869056,69.91277769999942,8.587116799997602,0.6327376000008371,0.1384,1.0,800
dp,0.5,80,resnet20,0.04130609999992885,61.11344720000125,9.056181700001616,0.838543199999549,0.2262,0.88375,800
dp,1.0,80,resnet20,0.06367420000242419,69.99840229999973,13.223618500000157,0.9405049999986659,0.2952,0.995,800
diffusion_dp,0.1,80,resnet20,0.762729499998386,69.61556399999972,9.310453699999925,0.8137104999987059,0.2826,0.885,800
diffusion_dp,0.5,80,resnet20,0.7175687000017206,83.1753452999983,8.385430899998028,0.6852042999998957,0.3135,0.9275,800
diffusion_dp,1.0,80,resnet20,0.6873205000010785,63.52027739999903,9.458449600002496,0.864824199998111,0.323,0.975,800
dp,0.1,160,resnet20,0.11029280000002473,145.33184580000307,7.49417049999829,1.3613647999991372,0.2054,1.0,1600
dp,0.5,160,resnet20,0.08429400000022724,145.23358069999813,8.86164330000247,1.410061800001131,0.3066,0.988125,1600
dp,1.0,160,resnet20,0.08115120000002207,155.32963200000086,12.474990399998205,1.7002385999985563,0.3945,1.0,1600
diffusion_dp,0.1,160,resnet20,2.3790588000010757,266.02963649999947,9.487282399997639,1.4148074000004272,0.3081,1.0,1600
diffusion_dp,0.5,160,resnet20,1.4133146999993187,155.3260291000006,13.267425899997761,1.339057800003502,0.3945,0.998125,1600
diffusion_dp,1.0,160,resnet20,1.3423801999997522,125.96886969999832,7.75272159999804,1.2356884000000719,0.4003,1.0,1600
