epsilon,per_class,epochs,diffusion_mean,dp_mean,mean_diff,t_stat,p_value,significant_better_than_dp
0.1,40,5,0.12513333333333335,0.10013333333333334,0.02500000000000001,1.7501261108528678,0.21392077125206163,False
0.1,40,10,0.16866666666666666,0.10473333333333334,0.06393333333333331,3.1112103659960164,0.06464437126106264,False
0.1,40,20,0.2389,0.11366666666666668,0.1252333333333333,15.900660325344145,0.00019499360893280145,True
0.1,80,5,0.18466666666666667,0.1084,0.07626666666666668,5.425824186478553,0.01919690034675891,True
0.1,80,10,0.24293333333333333,0.11476666666666667,0.12816666666666665,4.55069420655698,0.024162538936968753,True
0.1,80,20,0.29686666666666667,0.11926666666666667,0.17759999999999998,13.49661148439026,0.00021917134347492216,True
0.1,160,5,0.30833333333333335,0.11436666666666666,0.19396666666666668,6.59334124652414,0.01749687809876088,True
0.1,160,10,0.2809,0.12946666666666665,0.15143333333333334,3.085606519732057,0.07631328344509986,False
0.1,160,20,0.33593333333333336,0.13973333333333332,0.19620000000000004,5.485988144702228,0.015354818667639002,True
0.5,40,5,0.151,0.13303333333333334,0.01796666666666666,0.6354104504554071,0.5604987220829194,False
0.5,40,10,0.24483333333333332,0.18100000000000002,0.0638333333333333,2.485560810752466,0.08569030737994608,False
0.5,40,20,0.27466666666666667,0.2328,0.04186666666666666,2.3872374226616366,0.10279426640794583,False
0.5,80,5,0.22056666666666666,0.1837,0.03686666666666666,2.767180012978585,0.05715938751671269,False
0.5,80,10,0.28049999999999997,0.21743333333333334,0.06306666666666663,1.4704232935665313,0.2453945639484772,False
0.5,80,20,0.3207333333333333,0.23700000000000002,0.0837333333333333,8.475900157192553,0.0015157016163951469,True
0.5,160,5,0.33126666666666665,0.2567,0.07456666666666667,2.9905775713024045,0.056361288537443155,False
0.5,160,10,0.3163,0.2556333333333333,0.0606666666666667,1.6087854482413655,0.19106601586793304,False
0.5,160,20,0.3909666666666667,0.3015333333333334,0.08943333333333331,3.2157321282006692,0.038851665538168635,True
1.0,40,5,0.11026666666666667,0.13506666666666667,-0.024800000000000003,-3.9496878128545707,0.038861608356742905,False
1.0,40,10,0.22396666666666665,0.20010000000000003,0.02386666666666662,1.0325689242231157,0.3905666619205701,False
1.0,40,20,0.2713333333333333,0.21620000000000003,0.055133333333333284,1.405180907018999,0.23311924476875553,False
1.0,80,5,0.19426666666666667,0.22266666666666665,-0.02839999999999998,-0.7229618205819233,0.5173849589757219,False
1.0,80,10,0.2599,0.2545,0.005400000000000016,0.1374756584892966,0.8987676730348975,False
1.0,80,20,0.3098,0.31906666666666667,-0.009266666666666645,-0.5477505538560516,0.6156923525339799,False
1.0,160,5,0.3050333333333333,0.3153333333333333,-0.010299999999999976,-0.23579186597746687,0.8298516222423786,False
1.0,160,10,0.3502666666666667,0.3208333333333333,0.029433333333333422,1.6703843687328976,0.17102056817373984,False
1.0,160,20,0.38526666666666665,0.3833333333333333,0.0019333333333333425,0.0767617609698993,0.9432453213796639,False
