method,epsilon,per_class,ssim,psnr,file
diffusion_dp,1.0,160,0.3948548138141632,5.801272301474912,diffusion_dp_eps_1.0_k_160.png
diffusion_dp,1.0,160,0.6786814332008362,7.914767358937245,diffusion_dp_eps_1.0_k_160.png
diffusion_dp,1.0,160,0.5582334399223328,6.508861489349933,diffusion_dp_eps_1.0_k_160.png
diffusion_dp,1.0,40,0.6248354911804199,9.166695867173729,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.6651416420936584,10.87719523562092,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.44177207350730896,6.543518927202689,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.5662367939949036,8.457664537614754,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.5935840606689453,7.121754532749534,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.3841748535633087,7.33162641181683,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.5679994225502014,8.882818646860578,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,40,0.494711309671402,6.795473611133055,diffusion_dp_eps_1.0_k_40.png
diffusion_dp,1.0,80,0.6713254451751709,11.740968959462496,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.6353517174720764,9.706528374826904,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.5680049061775208,6.4640139404969705,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.5872282981872559,6.968072515426219,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.45103371143341064,6.1178168216517905,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.3749065101146698,5.997470605621046,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.6032280325889587,7.165014241981076,diffusion_dp_eps_1.0_k_80.png
diffusion_dp,1.0,80,0.5870856046676636,6.220612909258232,diffusion_dp_eps_1.0_k_80.png
distill_dp,0.1,160,0.38434839248657227,8.567978590993828,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.41881421208381653,7.506944581109515,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.23978620767593384,6.234843927394392,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.4115844964981079,7.3521537615414525,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.37226399779319763,7.320779262601461,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.26575878262519836,7.3959407527291186,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.4107639789581299,7.54729498308531,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,160,0.3103245794773102,6.882264609987068,distill_dp_eps_0.1_k_160.png
distill_dp,0.1,40,0.37258052825927734,7.294390353611771,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.3865933418273926,7.4217313732259,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.28424760699272156,6.437067879588851,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.4144556224346161,8.93286983377148,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.4446142613887787,7.402606350675104,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.2388426661491394,6.591704383725958,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.3932673931121826,7.454937860968749,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,40,0.3234686553478241,6.640064592572985,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,80,0.39989104866981506,7.410356022779182,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.4050074517726898,7.497693183289887,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.26392295956611633,6.273083034979113,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.3818786144256592,7.5447840979705365,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.358161062002182,7.374304977100035,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.2865830361843109,8.45615853950066,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.4109664857387543,9.174866563909617,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.33787772059440613,8.087215563591618,distill_dp_eps_0.1_k_80.png
distill_dp,0.5,160,0.47146978974342346,11.318911950266381,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.4822457730770111,8.909102725559869,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.6092341542243958,6.31984542739281,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.48338213562965393,9.567290508792688,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.49466797709465027,7.675903569764506,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.38898447155952454,6.17897371478703,distill_dp_eps_0.5_k_160.png
