method,epsilon,per_class,ssim,psnr,file
distill_dp,0.1,40,0.09755770117044449,10.672806838197808,distill_dp_eps_0.1_k_40.png
distill_dp,0.1,80,0.15367470681667328,11.6393914480061,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.14987239241600037,11.25575057548116,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.08229226619005203,10.370275489843054,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.04013362526893616,9.054999757401,distill_dp_eps_0.1_k_80.png
distill_dp,0.1,80,0.04260643199086189,8.997225738857182,distill_dp_eps_0.1_k_80.png
distill_dp,0.5,160,0.18883951008319855,13.733799850711659,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.8185103535652161,27.119485889709804,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.3141183853149414,15.009131632238958,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.4171799123287201,16.633645198321585,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,160,0.29247385263442993,19.33916572099095,distill_dp_eps_0.5_k_160.png
distill_dp,0.5,40,0.8178617358207703,26.986573560070468,distill_dp_eps_0.5_k_40.png
distill_dp,0.5,40,0.2147579938173294,16.14064706063178,distill_dp_eps_0.5_k_40.png
distill_dp,0.5,40,0.8188714385032654,27.222556806667313,distill_dp_eps_0.5_k_40.png
distill_dp,0.5,40,0.512408971786499,18.709415822547708,distill_dp_eps_0.5_k_40.png
distill_dp,0.5,40,0.3459053039550781,15.495326856883164,distill_dp_eps_0.5_k_40.png
distill_dp,0.5,80,0.22125262022018433,16.133204190629716,distill_dp_eps_0.5_k_80.png
distill_dp,0.5,80,0.5333626866340637,19.375935533916234,distill_dp_eps_0.5_k_80.png
distill_dp,0.5,80,0.4651269018650055,18.174311426228968,distill_dp_eps_0.5_k_80.png
distill_dp,0.5,80,0.20424915850162506,16.083069237580215,distill_dp_eps_0.5_k_80.png
distill_dp,0.5,80,0.8094909191131592,27.05732505464768,distill_dp_eps_0.5_k_80.png
distill_dp,1.0,160,0.2474583387374878,16.76194845510841,distill_dp_eps_1.0_k_160.png
distill_dp,1.0,160,0.9079446196556091,29.432175975154564,distill_dp_eps_1.0_k_160.png
distill_dp,1.0,160,0.5243625044822693,16.894768892649545,distill_dp_eps_1.0_k_160.png
distill_dp,1.0,160,0.9014935493469238,28.86976946186513,distill_dp_eps_1.0_k_160.png
distill_dp,1.0,160,0.8974094986915588,28.918987102504406,distill_dp_eps_1.0_k_160.png
