method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images,synthetic_train_images,synthetic_eval_images
gan_dp,0.5,320,resnet20,10.705264599999282,41.68846730000041,9.161974200000259,0.5056621000003361,0.11575,0.1046875,-0.011062500000000003,3200,2560,640
gan_dp,1.0,320,cnn,10.328437899999699,7.82960710000043,2.7205730999994557,0.15753089999998338,0.10016666666666667,0.1296875,0.029520833333333343,3200,2560,640
gan_dp,1.0,320,resnet20,10.328437899999699,41.09977640000034,9.445429700000204,0.49388100000032864,0.10375,0.09375,-0.009999999999999995,3200,2560,640
distill_dp,0.1,320,cnn,0.233675200000107,7.697967900000549,2.641214299999774,0.1569219000002704,0.6984166666666667,1.0,0.3015833333333333,3200,2560,640
distill_dp,0.1,320,resnet20,0.233675200000107,40.699063600000045,9.386256400000093,0.49841449999985343,0.5328333333333334,1.0,0.4671666666666666,3200,2560,640
distill_dp,0.5,320,cnn,0.2329435999999987,7.4181541999996625,2.8294121999997515,0.15202850000059698,0.6944166666666667,1.0,0.3055833333333333,3200,2560,640
distill_dp,0.5,320,resnet20,0.2329435999999987,41.51200719999997,9.15272780000032,0.49288069999965956,0.28708333333333336,1.0,0.7129166666666666,3200,2560,640
distill_dp,1.0,320,cnn,0.24390260000018316,7.281105500000194,2.745582700000341,0.15117250000002969,0.6785,1.0,0.3215,3200,2560,640
distill_dp,1.0,320,resnet20,0.24390260000018316,42.428216400000565,9.948473100000228,1.0520087000004423,0.21966666666666668,1.0,0.7803333333333333,3200,2560,640
diffusion_dp,0.1,320,cnn,2.7412869999998293,10.636653900000056,3.225158299999748,0.16577109999980166,0.92875,0.93125,0.0025000000000000577,3200,2560,640
diffusion_dp,0.1,320,resnet20,2.7412869999998293,45.76661000000058,11.293411199999355,0.6318696999996973,0.9685,0.9609375,-0.0075625000000000275,3200,2560,640
diffusion_dp,0.5,320,cnn,2.69648799999959,8.84477600000082,3.1117982000005213,0.1784591999994518,0.9388333333333333,0.934375,-0.004458333333333342,3200,2560,640
diffusion_dp,0.5,320,resnet20,2.69648799999959,43.81841340000028,11.70831939999971,0.47783930000059627,0.9690833333333333,0.959375,-0.009708333333333319,3200,2560,640
diffusion_dp,1.0,320,cnn,2.763492099999894,8.252966500000184,5.788456999999653,0.32992359999934706,0.9415833333333333,0.934375,-0.007208333333333372,3200,2560,640
diffusion_dp,1.0,320,resnet20,2.763492099999894,61.810023800000636,17.8669589000001,0.8378953000001275,0.96375,0.959375,-0.004375000000000018,3200,2560,640
